,Bleaching_indicator
47683,1
12185,0
6377,0
820,1
35034,1
39671,1
33730,1
13009,0
11020,0
5899,0
11386,0
24203,0
11340,0
13806,0
22134,0
39934,1
4524,1
17888,0
33023,1
43286,1
46987,1
21504,0
29485,1
40431,1
13501,0
20460,0
979,1
14831,0
34557,1
26369,0
44215,1
22818,0
28109,1
29455,1
20906,0
39261,1
42432,1
34950,1
47457,1
47329,1
25219,0
23414,0
43235,1
43038,1
14844,0
42806,1
4310,1
29879,1
36693,1
30882,1
27338,0
27723,0
19102,0
31105,1
1371,0
26530,0
8536,0
4886,0
5244,0
4381,1
5909,0
11604,0
1586,1
43605,1
38439,1
29890,1
9741,0
36542,1
4723,0
24420,0
32793,1
14566,0
17332,0
22671,0
16623,0
31810,1
3020,0
8405,0
41896,1
44211,1
37188,1
41137,1
14026,0
32079,1
38914,1
33123,1
42853,1
18159,0
10650,0
29806,1
5633,0
16730,0
7855,0
1188,0
23438,0
43865,1
16906,0
14569,0
10478,0
9423,0
40677,1
41814,1
26925,0
33872,1
591,1
28343,1
31477,1
4241,1
47063,1
29482,1
9348,0
43730,1
27913,1
2860,1
46089,1
48221,1
29069,1
12697,0
9620,0
3440,0
41418,1
43950,1
38459,1
9056,0
36993,1
326,1
24051,0
38827,1
42420,1
45265,1
11829,0
28789,1
22588,0
42148,1
30840,1
6471,0
39292,1
39234,1
33465,1
19056,0
24968,0
8817,0
27519,0
16409,0
41325,1
23897,0
15237,0
16668,0
42496,1
29772,1
24911,0
32646,1
44983,1
47785,1
36162,1
18240,0
46618,1
3779,1
25447,0
23665,0
35442,1
23912,0
28920,1
34595,1
27239,0
32162,1
22330,0
34836,1
22469,0
23110,0
33662,1
46652,1
9382,0
12481,0
13967,0
10982,0
35033,1
42058,1
21699,0
32126,1
14135,0
32686,1
5748,0
19557,0
17841,0
22430,0
44177,1
17368,0
17408,0
47125,1
36699,1
19046,0
31833,1
21675,0
2302,1
23159,0
44465,1
14036,0
33070,1
44553,1
35325,1
8870,0
17883,0
7729,0
16485,0
9343,0
24553,0
39476,1
10439,0
2693,1
48079,1
37554,1
23572,0
41594,1
19107,0
13860,0
46180,1
35980,1
42836,1
41598,1
20004,0
19768,0
32208,1
28773,1
5270,0
3912,1
40056,1
45285,1
22428,0
26356,0
4384,1
19927,0
6884,0
5667,0
39318,1
17858,0
37874,1
28057,1
37310,1
46656,1
4054,1
40144,1
23819,0
2033,1
41003,1
22629,0
26660,0
24661,0
38363,1
13345,0
40646,1
43350,1
41518,1
11541,0
6030,0
47887,1
33818,1
13520,0
33377,1
41819,1
31090,1
44941,1
35259,1
15286,0
3517,0
37415,1
43675,1
40861,1
31058,1
9026,0
40748,1
23793,0
16839,0
13473,0
35843,1
22267,0
41787,1
6731,0
29893,1
4537,1
25309,0
6096,0
701,1
37181,1
4692,1
23951,0
31701,1
41451,1
8451,0
9787,0
30584,1
2166,1
27147,0
29591,1
22519,0
4149,1
12736,0
4180,1
15510,0
20704,0
20159,0
33479,1
40363,1
21553,0
3184,0
35627,1
10197,0
39152,1
46726,1
