,Bleaching_indicator
28212,0
17,1
32310,1
29282,0
5954,1
14732,0
18618,0
27141,0
31695,1
27065,0
4583,0
10660,0
30159,1
40,1
7636,0
11849,0
19080,0
6265,1
8653,0
323,1
14238,0
27465,0
1102,1
2411,1
32546,1
3323,1
22498,0
4888,1
3168,1
27870,0
8509,0
27033,0
5267,1
18072,0
18025,0
3508,1
19115,0
32325,1
29841,1
1160,1
2601,1
30134,1
17240,0
26091,0
5728,1
31153,1
28784,0
31294,1
2605,1
17143,0
20361,0
5332,1
15234,0
2270,1
233,1
32318,1
3960,1
14965,0
9832,0
3462,1
20566,0
29017,0
4033,1
33701,1
28989,0
332,1
19222,0
29893,1
3414,1
18078,0
26033,0
8637,0
12234,0
30441,1
32081,1
33359,1
3881,1
4489,0
217,1
9427,0
21063,0
1438,1
545,1
32824,1
27506,0
16036,0
30660,1
16165,0
24127,0
23334,0
26893,0
19675,0
6194,1
5596,1
3787,1
31356,1
33550,1
32887,1
2763,1
31072,1
5737,1
31236,1
33390,1
3029,1
19461,0
1354,1
10945,0
32451,1
2891,1
23421,0
14588,0
5279,1
768,1
1518,1
30969,1
13038,0
29760,1
59,1
1601,1
24889,0
29691,1
32573,1
2319,1
26560,0
16416,0
5278,1
3808,1
10001,0
158,1
26523,0
871,1
31700,1
26148,0
29425,0
20254,0
5701,1
10341,0
5492,1
7041,0
824,1
15279,0
3483,1
19304,0
11979,0
14159,0
2948,1
16042,0
28469,0
30816,1
6435,0
5054,1
15075,0
7002,0
26735,0
15590,0
9677,0
5121,1
13012,0
33030,1
4321,0
18985,0
25957,0
2772,1
16809,0
19892,0
33852,1
5801,1
4037,1
30063,1
12481,0
21051,0
18805,0
28492,0
34202,1
6975,0
6201,1
32112,1
32633,1
23214,0
30543,1
13068,0
4862,1
21488,0
3870,1
30507,1
2463,1
2330,1
24768,0
31561,1
3802,1
6608,0
30682,1
30353,1
5699,1
8786,0
25146,0
2991,1
22285,0
13092,0
33233,1
29822,1
14777,0
3277,1
14584,0
3181,1
30744,1
5833,1
2146,1
13354,0
17265,0
7425,0
14062,0
5039,1
2055,0
29530,1
32906,1
3063,1
24667,0
30536,1
650,1
3564,1
30680,1
25811,0
2904,1
33,1
5452,1
9587,0
21785,0
33659,1
30789,1
13966,0
18012,0
17949,0
28103,0
24777,0
2361,1
18573,0
19394,0
32938,1
25260,0
12241,0
31267,1
23048,0
5292,1
30959,1
18304,0
33611,1
17097,0
2401,1
28973,0
17543,0
31071,1
21100,0
7194,0
15458,0
20503,0
16913,0
4130,0
33841,1
27019,0
26818,0
25346,0
24927,0
18091,0
3332,1
33502,1
30632,1
21610,0
985,1
3714,1
30778,1
15602,0
32204,1
5924,1
20397,0
14996,0
25573,0
11898,0
11455,0
28276,0
9605,0
281,1
3824,1
17672,0
19078,0
4024,1
2588,1
31456,1
10642,0
3768,1
13588,0
7389,0
5126,1
19980,0
33635,1
3621,1
951,1
5412,1
2553,1
6363,0
17873,0
815,1
6280,0
19475,0
912,1
6261,1
761,1
8141,0
29041,0
163,1
33048,1
1382,1
5401,1
3722,1
27859,0
17650,0
7626,0
23343,0
12020,0
27939,0
25095,0
15440,0
30723,1
12659,0
26591,0
31253,1
21964,0
31970,1
3517,1
8816,0
28737,0
31439,1
31488,1
14958,0
23786,0
24301,0
25896,0
12557,0
32690,1
15303,0
33418,1
32584,1
32582,1
5067,1
21941,0
31551,1
26066,0
27494,0
29547,1
33009,1
9901,0
14378,0
16713,0
117,1
33856,1
12357,0
32637,1
15771,0
33258,1
380,1
5274,1
3396,1
7979,0
31420,1
30768,1
18394,0
32035,1
11077,0
5242,1
5880,1
17074,0
5085,1
4878,1
25869,0
13156,0
26260,0
16597,0
31619,1
15436,0
335,1
100,1
3493,1
29879,1
1138,1
366,1
5688,1
8814,0
28301,0
33255,1
3666,1
4404,0
1365,1
30252,1
22032,0
9390,0
7271,0
10037,0
21763,0
18999,0
31128,1
10739,0
850,1
17442,0
34213,1
32363,1
30228,1
13269,0
20783,0
1729,1
78,1
27755,0
10854,0
21961,0
2467,1
7282,0
32247,1
13921,0
3041,1
21084,0
17727,0
20763,0
11993,0
7709,0
29864,1
5613,1
30225,1
26008,0
10524,0
5808,1
17598,0
26492,0
5374,1
5665,1
11195,0
11295,0
7889,0
6815,0
5671,1
34003,1
1285,1
10922,0
15205,0
12269,0
3308,1
13314,0
23181,0
1287,1
31014,1
29674,1
18155,0
21321,0
23242,0
1577,1
7329,0
6331,0
1608,1
27976,0
31899,1
32096,1
5097,1
6057,1
15283,0
7715,0
23489,0
34158,1
14854,0
11153,0
24620,0
19330,0
32259,1
4898,1
19511,0
1087,1
25761,0
18904,0
2597,1
3922,1
3192,1
32469,1
1240,1
410,1
26948,0
10595,0
24017,0
5268,1
12245,0
10130,0
15356,0
14816,0
26724,0
16213,0
6049,1
33500,1
30372,1
33647,1
2305,1
1364,1
5078,1
548,1
2797,1
26274,0
33663,1
2374,1
3648,1
1378,1
14080,0
13035,0
610,1
4861,1
32880,1
2650,1
17006,0
7087,0
31715,1
14624,0
26174,0
15929,0
11638,0
1780,1
19952,0
25357,0
29569,1
277,1
30483,1
5732,1
3944,1
33816,1
9076,0
28422,0
2375,1
19206,0
3080,1
27940,0
20108,0
6198,1
16080,0
28799,0
5352,1
18100,0
21580,0
2359,1
29564,1
28337,0
6119,1
19919,0
3992,1
26643,0
30726,1
33814,1
19271,0
27146,0
10567,0
22763,0
14490,0
32707,1
5951,1
24336,0
6282,0
14140,0
34013,1
32474,1
143,1
22602,0
32605,1
21616,0
31307,1
18419,0
30900,1
31226,1
30681,1
29709,1
2475,1
22846,0
1141,1
6109,1
30566,1
31162,1
5320,1
16325,0
30395,1
5940,1
26245,0
28400,0
9020,0
19849,0
5102,1
8582,0
9818,0
9035,0
4216,0
34031,1
779,1
2804,1
33616,1
4082,1
30475,1
2473,1
2770,1
29699,1
15442,0
1448,1
9745,0
7641,0
31102,1
33395,1
6227,1
16181,0
3362,1
20688,0
11598,0
21821,0
32623,1
1730,1
26428,0
4506,0
939,1
13547,0
21677,0
34190,1
28606,0
10329,0
9972,0
34156,1
23278,0
7031,0
9698,0
192,1
3975,1
9289,0
24988,0
1720,1
15718,0
25708,0
31215,1
33440,1
4897,1
7135,0
32059,1
30354,1
2669,1
12996,0
2829,1
7738,0
26855,0
24658,0
16610,0
32702,1
21564,0
13909,0
3682,1
32398,1
17570,0
15049,0
31811,1
18289,0
10252,0
31291,1
8147,0
7868,0
5807,1
3630,1
3877,1
19284,0
19324,0
30040,1
573,1
1418,1
6375,0
31746,1
19380,0
2147,1
5021,1
30490,1
8618,0
478,1
33399,1
26878,0
18839,0
13618,0
33371,1
7235,0
5928,1
16599,0
29949,1
3458,1
32866,1
5759,1
16177,0
31813,1
4608,0
14556,0
17463,0
8817,0
16666,0
12461,0
15909,0
6453,0
8153,0
1406,1
32445,1
27573,0
33768,1
